交易日期,上日结存,当日存取合计,当日盈亏,当日总权利金,当日手续费,当日结存,客户权益,实有货币资金,非货币充抵金额,货币充抵金额,冻结资金,保证金占用,可用资金,风险度,追加保证金
2017-07-10,627780.93,-20000,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-11,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-12,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-13,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-14,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-17,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-18,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-19,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-20,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-21,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-24,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-25,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-26,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-27,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
2017-07-28,607780.93,0,0,0,0,607780.93,607780.93,607780.93,0,0,0,0,607780.93,0.00%,0
